Date,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Total_Demanda_Dia
2024-01-02,1084,199.57,197.34,225.16,201.8,206.96,231.47,325.37,345.54,431.16,464.45,497.92,532.07,600.91,629.02,587.52,590.42,570.92,486.92,462.83,459.81,390.08,369.35,441.85,368.99,9817.43
2024-01-02,1089,12670.12,12635.84,12161.97,12030.36,11712.56,12164.6,14314.71,14278.08,14953.0,15229.42,15131.71,14922.88,15017.84,15520.56,16058.85,16548.22,17038.24,17326.24,17019.64,16805.99,16590.42,16088.08,15903.56,16192.54,358315.42999999993
2024-01-02,1090,16822.5,16878.6,15687.29,16453.06,17484.42,17848.15,21775.82,29260.02,30084.45,30532.48,31053.46,32353.3,32749.77,32512.35,33233.69,34982.8,38638.44,40674.76,39730.03,40527.31,41982.19,40820.04,38541.91,39033.41,729660.25
2024-01-02,1101,2464.0,2270.39,2484.65,2404.85,2806.67,2867.48,3039.48,3443.96,3517.3,3434.89,3593.57,3614.07,3723.16,3781.81,4047.13,3715.63,3750.15,3447.37,3263.86,3669.21,3420.56,3573.01,3640.51,3656.15,79629.85999999999
2024-01-02,1102,129.36,125.41,124.97,127.34,132.98,125.98,125.59,130.89,146.37,163.41,173.11,164.9,172.83,173.75,178.67,176.75,170.22,147.44,131.25,132.35,138.56,134.45,129.36,130.35,3486.29
2024-01-02,1103,30038.4,29273.52,29707.02,29700.95,31847.66,31932.03,31082.24,32202.62,32528.12,32517.49,32517.48,32493.4,32960.94,34062.72,34952.33,34075.65,34464.38,34796.63,34821.17,35270.74,36788.66,34271.96,33079.39,32472.58,787858.08
2024-01-02,1104,17793.5,17972.68,18373.5,18294.73,18668.39,20533.01,22193.05,22734.59,23272.94,23428.1,24318.29,25562.93,26650.64,27361.02,28244.49,28667.28,28791.5,31299.71,32736.32,33435.16,33564.91,32965.98,32894.16,34574.62,624331.5000000001
2024-01-03,1011,28476.3,28152.41,27731.3,26944.77,27954.8,28901.78,30670.5,31598.24,32749.28,32626.54,32946.58,33539.19,33705.64,33922.92,33877.45,34646.12,33963.03,33151.7,32706.1,32428.75,31924.93,30641.4,29975.32,29709.19,752944.2399999999
2024-01-03,1012,2307.62,2443.0,2513.53,2503.97,2376.4,2556.97,2970.47,3312.86,3594.65,3809.28,3985.62,4547.12,4608.0,4519.43,4654.06,4659.28,4337.07,3820.83,3589.21,3438.23,3380.15,3437.14,3471.44,3452.31,84288.63999999998
2024-01-03,1020,5086.67,4993.68,4938.28,4914.09,4969.12,4991.48,5083.47,5634.04,5908.4,5892.47,5899.92,6003.27,6045.33,5934.43,5786.2,6023.96,5888.72,5737.43,5776.92,5796.15,5719.86,5650.53,5377.39,5241.64,133293.44999999998
2024-01-03,1030,16320.75,16482.88,16756.97,16370.67,15667.07,15362.45,15807.32,16873.38,17233.46,17004.18,16802.34,16646.14,16533.78,17404.41,18192.64,19100.17,21610.6,22300.83,22427.32,22200.92,22791.02,23761.55,23031.71,21471.28,448153.83999999997
2024-01-03,1040,29592.13,29039.62,29239.11,29431.86,29365.11,30094.94,31700.96,32988.72,33133.76,32659.2,33654.57,35771.63,35497.5,35581.08,35502.23,36173.73,35433.13,34190.8,33263.46,33703.87,32613.34,31139.92,29989.93,30243.8,780004.4000000001
2024-01-03,1051,17743.34,17519.39,17581.94,16984.21,16720.56,16410.87,20455.85,25622.22,27494.0,27930.07,28688.95,28573.85,26253.55,27727.47,29567.8,30439.45,29209.83,28994.01,27766.57,28476.64,29104.11,29355.27,28814.5,27677.47,605111.92
2024-01-03,1052,568.35,535.38,540.84,519.41,536.27,527.24,544.8,683.71,861.34,980.69,1308.08,1241.31,1228.08,1282.95,1235.5,1285.98,1203.39,1108.24,767.66,769.85,761.74,673.86,558.72,655.9,20379.290000000005
2024-01-03,1061,7441.45,7474.53,7553.75,7485.68,7458.31,7256.22,7872.35,9202.47,9614.88,9731.06,10064.91,10681.68,10179.86,10077.01,9906.49,9769.79,10099.9,10177.34,9824.33,9493.19,9102.15,8731.59,8463.96,8709.27,216372.16999999995
2024-01-03,1062,1813.74,1701.16,1704.06,1822.3,2018.28,2184.03,2912.34,3260.15,3551.92,3502.78,3709.35,3646.31,3468.55,3615.72,3700.85,3372.08,2903.66,2476.63,2275.94,2182.62,2183.88,2028.38,2136.46,2033.75,64204.939999999995
2024-01-03,1063,955.58,940.41,964.48,939.58,934.73,909.58,830.29,1384.05,1546.85,1463.12,1364.43,1495.4,1620.8,1582.26,1592.22,1568.99,1216.55,1469.31,1459.89,1540.92,1498.16,1498.6,1496.77,1472.91,31745.88
2024-01-03,1071,11881.39,12987.32,13655.25,13873.07,13500.84,10572.35,8344.6,9614.77,10189.8,10309.64,9754.19,9435.58,8586.56,7044.01,7387.48,7226.47,6677.81,5665.36,5908.23,5962.67,6011.09,5815.42,5383.21,5369.3,211156.41000000003
2024-01-03,1072,519.68,531.52,523.17,461.67,531.55,533.34,711.88,885.64,799.66,893.78,1037.28,911.79,767.55,851.72,830.62,1052.59,890.37,665.68,332.88,496.83,335.03,372.45,338.25,387.3,15662.23
